card,size_MB,external_paths,internal_self_paths,embedded_data,has_DATA_MANIFEST,category,sample_ref
2604.04518v1,23443.1,8528,13,True,False,固化膨胀,E://scisolvebench-data//raw//2604.04518v1//camelyon17//camelyon17_v1.0//patches//patient_004_node_4//patch_patient_004_node_4_x_10080_y_17920.png
2604.04911v1,3.4,9,0,False,False,数据缺失,F://dataset//2604.04911v1
2604.04891v1,3.1,9,1,False,False,数据缺失,F://dataset//2604.04891v1
08_tapley_2004,2.6,6,0,False,False,数据缺失,F:/dataset
wong_2020,2.3,7,4,False,False,数据缺失,E:/scisolvebench-data/asset-data/datasets-v1/v1/wong_2020
bensen_2007,0.8,7,1,False,False,数据缺失,E:/scisolvebench-data/asset-data/datasets-v1/v1/bensen_2007
2604.04923v1,0.7,5,0,False,False,数据缺失,F:/dataset
bonjean_2002,0.7,6,0,False,False,数据缺失,F:/dataset
2604.04673v1,0.6,7,0,False,False,数据缺失,F:/dataset
2604.04914v1,0.5,9,0,False,False,数据缺失,F:/dataset
gehlen_2019,0.5,10,0,False,False,数据缺失,E:/scisolvebench-data/asset-data/datasets-v1/v1/gehlen_2019
2604.04832v1,0.4,5,0,False,False,数据缺失,F:/dataset
2604.04868v1,0.4,8,0,False,False,数据缺失,F:/dataset
2604.04895v1,0.4,8,0,False,False,数据缺失,F:/dataset
2604.04898v1,0.4,5,0,False,False,数据缺失,F:/dataset
2604.04930v1,0.4,6,0,False,False,数据缺失,E://scisolvebench-data//asset-data//datasets-v1//v1//2604.04930v1//public_data
2604.04681v1,0.3,8,0,False,False,数据缺失,F:/dataset
2604.04477v1,0.2,5,0,False,False,数据缺失,F:/dataset
2604.04842v1,0.2,7,0,False,False,数据缺失,F:/dataset
2604.04878v1,0.2,5,0,False,False,数据缺失,F:/dataset
2604.04858v1,0.1,6,2,False,False,数据缺失,F:/dataset
2604.04871v1,0.1,12,0,False,False,数据缺失,F://dataset//24_2604.04871v1
2604.04915v1,0.1,6,0,False,False,数据缺失,F:/dataset
pages2k_2019,108.9,14,0,True,False,路径可救,E://scisolvebench-data//asset-data//datasets-v1//v1//pages2k_2019//
