card,domain,v7_total,v7_conclusion,A1,A2,A3,B,total,conclusion,reason,model,error
2111.10009_exominer_tess_vetting,astro,100.0,supported,12,33,15,40,100,supported,"提交物完整（claim.md/report.md/code/results/evidence 齐全），代码真实可运行，复现结果与编译器探针完全一致：rows=11289、score min/median/max=0.101/0.755/0.999、≥0.5=7229(64.0%)、>0.99=1070(9.5%)、MES<10.5 中 >0.99=30(0.93%)、MES≥10.5 中 >0.99=1040(12.9%)、MES 分箱占比单调上升(0.69%→19.13%)、高分候选 1040 且半径中位 6.79/周期中位 3.92/周期上限 124.7d、Spearman(score,MES)=0.183、Spearman(score,SNR)=0.197，全部落在满分容差带内。方法严谨：明确区分论文数值为对照锚而非实测，正确指出 score>0.1 展示子集局限、TESS vs Kepler 口径差异、无金标故不重算 precision/recall，并给出差异归因。证据真实可验证（verify_check3.py 断言通过）。结论 supported 合理。",DeepSeek-V4-Flash-0731,
2211.01901_neznet_vipers_photoz,astro,95.0,supported,12,33,15,40,100,supported,提交物完整（metrics.json/evidence_table.csv/可运行代码/claim/report），A1满分。复现指标与PAPER_ANCHOR真值高度吻合：W1=40315/W4=27961行、0.5-1.2子集34638/22657、W4安全样本σ=0.0888/离群3.92%（锚点0.089/3.9%）、最近邻物理对45.6%、分箱<5″68.9%→50-200″37.4%单调递减、中位角距23.8″，全部落在容差带内，A2满分。方法严谨：正确使用Eq.(5)-(8)定义、cKDTree+haversine、安全样本zflg≤14且z>0，对样本切法差异归因准确并明确模型改进数值不可重算边界，A3满分。证据真实可验证：代码逻辑与落盘数值自洽，无抄写论文数字，B满分。结论supported合理。,DeepSeek-V4-Flash-0731,
1903.02557_dash_supernova_class,astro,75.0,partially_supported,12,27,15,38,92,supported,提交物完整（metrics.json/evidence_table.csv/critical_checks.json/uncertainty.json/report.md/code/run.sh 齐全），A1=12。复现证据：evidence_table.csv 69条，MATCH 56、MISMATCH 8、ICBROAD_EXCLUDED 5，总体匹配率 56/64=0.875（≥0.80 阈值），Ia 49/54=0.907（≥0.90 阈值），II 6/8=0.750（与论文 0.893 差 14.3pp，在 15pp 容差内），速度 3.59s/69条（<20s/212 主张定性支持）。与论文 Table 1 对比：总体 0.875 vs 0.929、Ia 0.907 vs 0.984，均在子集容差内。spot-check DES16C3bq→Ia-norm 与 Table 2 一致，DES16E2aoh→Ia-91bg 与 Table 2 Ia-91T 大类一致（模型版本差异可接受）。数据铁律遵守（未模拟、未改冻结文件、用官方 v06）。A2=27：结论 supported 合理，但未完成 Table 2 全量逐对象复现一致率、未单独拆分 ? 分型匹配率，扣 3 分。A3=15：方法严谨，正确按论文口径处理 Ic-broad 排除、? 归入大类、knownZ=True ,DeepSeek-V4-Flash-0731,
1905.02738_evryscope_variable_stars,astro,100.0,supported,12,33,15,40,100,supported,提交物完整（claim.md/report.md/code/evidence_table.csv/metrics.json 齐全），代码真实可运行，沙箱执行 parse_catalog.py 复现结果与 metrics.json 及编译器探针完全一致：table10=135、table11=159、合计294；合并 Size ms=258/giant=34/空=2（giant 与空精确匹配论文，ms 差9归因于EB版本差异）；EB周期≤75h占84.3%、振幅5-25%占72.3%、振幅≥5%占97.5%；变量振幅≥5%占60%、周期中位6.48h（EB 34.8h）；巨星变量24>巨星EB10；G型最常见。所有指标均在容差带内，差异归因（发布目录删9条主序EB）与论文锚一致，未抄写论文数字，证据真实可验证。,DeepSeek-V4-Flash-0731,
2211.03400_fermi_4fgl_jetted_agn,astro,95.0,partially_supported,12,30,14,38,94,partially_supported,提交物完整（claim.md/report.md/code/evidence/results 齐全，含可运行脚本 analyze_4fgl.py 与 verify_checks.py，输出 metrics.json/evidence_table.csv 等）。沙箱真实执行 analyze_4fgl.py 成功，复现结果与提交 metrics.json 及编译器探针完全一致：records=5065、unique=5065、CLASS1 空全空天 1336（与 4FGL 论文摘要一致）、|b|>10 共 3646、无对应体 657(18.0%)、bcu 1074、重建样本 2866、bll+BLL 1067(37.2%)、fsrq+FSRQ 658(23.0%)、rdg 38、nlsy1 9，均在 PAPER_ANCHOR 满分容差带内（2866±10、bcu 1073±20、bll 1067±20、fsrq 658±15）。方法严谨：严格按 ReadMe 定宽字节解析、大小写敏感、排除银河系码集合与 TASK 一致，并如实讨论 DR1 vs DR2 版本差与文献重分类缺失，未抄论文数字。结论 partially_supported 合理（BLL 37.2% vs 40%、FSRQ 23.0% vs 23%、bcu 37.4% 作为无明确分类代理 vs ~30%，方向一致）。B 维度,DeepSeek-V4-Flash-0731,
2308.05572_gaia_wd_xp_class,astro,100.0,supported,12,33,15,40,100,supported,"提交物完整（claim.md/code/evidence_table.csv/metrics.json/report.md 齐全），代码为固定宽度解析且逻辑正确。metrics.json 与 evidence_table.csv 中核心指标与编译器探针完全一致：总行数=唯一源数=100,886；SpType 无冒号口径六类计数 DA 77,330/DB 5,688/DC 4,082/DO 215/DQ 601/DZ 1,272，合计 89,188，uncertain 11,698，与论文 Table 2 逐类完全一致（满分带内）；DA 占比 76.65%、HC 占比 88.40% 与锚 A3 一致。argmax 口径 83,963 与探针一致，并正确解释舍入/冒号差异。Teff=-999=1,396、DA Teff>300,000K=68（HC 子集 54）与编译器探针一致，且如实报告版本漂移（论文 1,080/34），未抄论文数字。代码因数据路径指向 F 盘在沙箱无法运行，但提交的 metrics/evidence 与探针完全吻合，证据真实可验证。结论 supported。",DeepSeek-V4-Flash-0731,
2412.14502_radio_galaxy_zoo_dr1,astro,100.0,supported,12,33,15,40,100,supported,提交物完整（metrics.json、evidence、code、REPORT），代码真实可运行。沙箱实测复现：FIRST行99602、ATLAS583、合计100185、唯一源99146+583，与论文及锚点完全一致；CL min=0.65/median=1.0/mean=0.9416/CL<1占30.1%，全部≥0.65，与锚点一致；多分量行级16531/唯一源级16334（论文16354，Δ-20版本差已正确归因），ATLAS N_comp>1=1；正确说明0.83 reliability不可从本包重算。所有关键指标与PAPER_ANCHOR真值及编译器探针吻合，结论supported，证据真实可验证。,DeepSeek-V4-Flash-0731,
2305.05782_lotss_deep_source_class,astro,100.0,supported,12,33,15,40,100,supported,"提交物完整（claim.md/report.md/code/results/evidence/figures 齐全），代码真实可运行。在沙箱中执行 analyze_lotss_deep.py 成功复现：三场行数 31,610/31,162/19,179=81,951，五类×三场计数与 Table 2 逐类完全一致（差 0），百分比 SFG 67.9%/RQAGN 9.1%/LERG 15.6%/HERG 2.1%/Unc 5.3%，可靠分类率 94.7%，ELAIS-N1 流量分箱 SFG 占比 84.1%/79.2%/66.0%/41.4%/19.2% 单调下降，50% 开关点 ~0.99 mJy，全部落在论文真值容差带内。方法严谨：从冻结 FITS 读取、用 Overall_class 计数、独立用 AGN_final×RadioAGN_final 规则交叉验证 0 失配，论文数字仅作对照，并对 84% vs 90% 差异做了明确口径归因。证据真实可验证，与真值一致。",DeepSeek-V4-Flash-0731,
2401.10290_kp3h_geomagnetic_storm,astro,86.0,partially_supported,10,30,12,30,82,partially_supported,"提交物完整（claim.md/report.md/code/analyze_kp3h.py/results/metrics.json/evidence_table.csv），A1 得 10。metrics.json 报告 test 期 735 事件、11-04 Kp 峰值 7.667/Dst −105、交叉验证 7.7/−105 与真值一致；RF top-50 acc=0.7537、full=0.7293、top-100=0.7401、top-50+下采样=0.7048、持久性=0.7252、均值=0.5850，均落入编译器探针带 [0.65,0.82]，且报全基线并做重要性衰减（近/远比值 7.18≥2），科学保真 A2 给 30。方法严格按论文同构（767 特征、3h 网格、防泄漏、中位数插补、RF 100 树、top-50+下采样），A3 给 12。B 维度：metrics 中数据规模/交叉验证/事件数/峰值均与真值一致，但代码因数据路径 F:/ 在沙箱不可用而无法真实执行复现（数据未挂载），证据真实性只能依据提交的 metrics.json 与真值比对，未发现造假迹象，B 给 30。结论 partially_supported：预测技能与重要性衰减子论断在冻结数据口径下复现，但论文精确 82.55% 未复现（属预期）。",DeepSeek-V4-Flash-0731,
2512.06316_frb_repeater_semisupervised,astro,100.0,supported,12,33,15,40,100,supported,提交物完整（metrics.json/evidence_table.csv/code/REPORT），代码真实可运行。沙箱内执行 verify_claims.py 成功复现：chime_dm_subset.csv 3584 行（94 repeater + 3490 non-repeater），repeater DM mean=445.50/median=409.74，non-repeater mean=686.44/median=584.90，Mann-Whitney U p=1.32e-10，方向与显著性均与 PAPER_ANCHOR 编译器探针及论文 Table 1 一致（repeater 更低，p<<1e-5）。agent 正确讨论了源级/暴级口径差异（3584 源 vs 593 暴），并说明 F_d/w_p/f_p/f_lu 在源级转储缺失、无法完整复现半监督流水线的边界。特征重要性中 dm_pc_cm3 在物理特征中排第一（RF 中仅次于非物理的 mjd 列，agent 已如实说明）。SHA-256 完整性校验通过。所有关键指标与真值精确匹配，结论 supported。,DeepSeek-V4-Flash-0731,
